,Facility/HHS Code,Facility/HHS Desc,Last Month in QTR,Triage Category,Number of Attendances,Variation in the number of attendances (%),Patients Seen within clinically recommended times (%),Median Waiting time to treatment (minutes),Patients who did not wait for treatment (%),Patients admitted from the Emergency Department (%),Admissions to hospital within 4 hours (%),Patients whose ED stay was within 4 hours (%),Number of patients who left after treatment commenced,Percentage of patients who left after treatment commenced (%),Number of patients who did not wait for treatment,Median Wait Traffic Light
421,159,Winton Hospital,DEC 2022,3,61,8.928571428571429,0.0,95.08,31.15,89.47,91.8,0,0,0,0,
422,159,Winton Hospital,DEC 2022,4,84,-21.49532710280374,3.0,97.59,7.14,100,97.62,0,0,0,0,
423,159,Winton Hospital,DEC 2022,5,76,-28.30188679245283,0.0,98.59,5.26,75,96.05,0,0,1,1.32,
424,159,Winton Hospital,DEC 2022,ALL,254,-10.56338028169014,0.0,97.18,18.5,91.49,95.28,0,0,1,0.39,
425,171,Clermont Hospital,DEC 2022,1,5,0.0,0.0,100,20,100,80,0,0,0,0,
426,171,Clermont Hospital,DEC 2022,2,82,30.158730158730158,0.0,87.65,39.02,75,75.61,0,0,1,1.22,
427,171,Clermont Hospital,DEC 2022,3,242,74.10071942446044,0.0,93.22,21.49,82.69,87.19,5,2.07,4,1.65,
428,171,Clermont Hospital,DEC 2022,4,342,2.08955223880597,0.0,95.89,5.26,66.67,92.4,1,0.29,14,4.09,
429,171,Clermont Hospital,DEC 2022,5,236,-54.527938342967246,0.0,97.52,1.69,50,92.8,1,0.42,11,4.66,
430,171,Clermont Hospital,DEC 2022,ALL,907,-14.109848484848484,0.0,94.62,11.8,76.64,89.53,7,0.77,30,3.31,
431,172,Mackay Base Hospital,DEC 2022,1,73,4.285714285714286,0.5,100,80.82,32.2,35.62,1,1.37,0,0,
432,172,Mackay Base Hospital,DEC 2022,2,3049,6.795096322241681,7.0,98.85,55.92,27.74,43.1,108,3.54,8,0.26,
433,172,Mackay Base Hospital,DEC 2022,3,6392,1.0273431326062905,14.0,83.53,36.83,24.09,49.95,493,7.71,158,2.47,
434,172,Mackay Base Hospital,DEC 2022,4,3424,-11.97943444730077,21.0,93.52,12.44,31.92,79.23,269,7.86,146,4.26,
435,172,Mackay Base Hospital,DEC 2022,5,409,-46.952010376134886,25.0,99.73,3.42,42.86,91.93,20,4.89,30,7.33,
436,172,Mackay Base Hospital,DEC 2022,ALL,13347,-4.068137712930353,11.0,90.19,34.15,26.35,57.11,891,6.68,342,2.56,
437,173,Moranbah Hospital,DEC 2022,1,3,-50.0,0.0,100,0,-,33.33,0,0,0,0,
438,173,Moranbah Hospital,DEC 2022,2,186,7.514450867052023,0.0,98.36,19.35,97.22,80.11,5,2.69,2,1.08,
439,173,Moranbah Hospital,DEC 2022,3,427,11.780104712041885,0.0,97.38,8.43,94.44,91.1,10,2.34,6,1.41,
440,173,Moranbah Hospital,DEC 2022,4,484,-5.6530214424951275,0.0,98.29,1.45,85.71,95.66,4,0.83,7,1.45,
441,173,Moranbah Hospital,DEC 2022,5,433,-57.4656188605108,0.0,100,0.23,100,99.08,0,0,9,2.08,
442,173,Moranbah Hospital,DEC 2022,ALL,1533,-26.720841300191204,0.0,98.37,5.22,95,93.35,19,1.24,24,1.57,
443,174,Proserpine Hospital,DEC 2022,1,29,45.0,0.0,100,44.83,30.77,37.93,0,0,0,0,
444,174,Proserpine Hospital,DEC 2022,2,454,-4.219409282700422,4.0,88.55,33.7,45.75,63.44,8,1.76,0,0,
445,174,Proserpine Hospital,DEC 2022,3,1430,11.89358372456964,10.0,88.87,18.32,43.13,73.92,9,0.63,8,0.56,
446,174,Proserpine Hospital,DEC 2022,4,2158,-5.475251861585633,15.0,87.33,4.91,39.62,90.64,6,0.28,63,2.92,
447,174,Proserpine Hospital,DEC 2022,5,572,-78.71231857089691,16.5,94.75,0.7,50,95.98,1,0.17,35,6.12,
448,174,Proserpine Hospital,DEC 2022,ALL,4643,-31.13319489765648,11.0,88.87,11.59,42.94,83.16,24,0.52,106,2.28,
449,175,Sarina Hospital,DEC 2022,1,2,0.0,2.5,50,0,-,100,0,0,0,0,
450,175,Sarina Hospital,DEC 2022,2,67,-37.96296296296296,0.0,86.36,29.85,90,94.03,0,0,0,0,
451,175,Sarina Hospital,DEC 2022,3,354,-3.0136986301369864,8.0,89.86,12.43,86.36,94.63,3,0.85,1,0.28,
452,175,Sarina Hospital,DEC 2022,4,618,-13.92757660167131,9.0,96.83,5.5,73.53,96.6,4,0.65,6,0.97,
453,175,Sarina Hospital,DEC 2022,5,313,-2.795031055900621,10.0,99.54,1.92,100,99.36,0,0,1,0.32,
454,175,Sarina Hospital,DEC 2022,ALL,1354,-10.627062706270626,8.0,94.71,7.68,83.65,96.6,7,0.52,8,0.59,
455,176,Dysart Hospital,DEC 2022,1,0,0.0,,-,-,-,-,0,-,0,-,
456,176,Dysart Hospital,DEC 2022,2,57,171.42857142857142,0.0,92.86,56.14,87.5,84.21,0,0,1,1.75,
457,176,Dysart Hospital,DEC 2022,3,199,12.429378531073446,0.0,93.88,34.17,85.29,87.94,5,2.51,1,0.5,
458,176,Dysart Hospital,DEC 2022,4,227,-10.62992125984252,2.0,96.38,6.61,100,98.68,2,0.88,5,2.2,
459,176,Dysart Hospital,DEC 2022,5,93,-58.849557522123895,0.5,98.81,3.23,100,98.92,0,0,5,5.38,
460,176,Dysart Hospital,DEC 2022,ALL,576,-15.169366715758468,1.0,95.51,20.49,88.14,93.58,7,1.22,12,2.08,
461,191,Ayr Hospital,DEC 2022,1,14,40.0,0.0,100,21.43,66.67,85.71,0,0,0,0,
462,191,Ayr Hospital,DEC 2022,2,252,17.757009345794394,0.0,96.83,34.92,77.27,84.52,2,0.79,0,0,
463,191,Ayr Hospital,DEC 2022,3,1001,7.0588235294117645,0.0,95.63,26.17,74.43,88.11,8,0.8,8,0.8,
464,191,Ayr Hospital,DEC 2022,4,1766,3.3957845433255267,0.0,97.74,4.47,72.15,96.43,1,0.06,33,1.87,
465,191,Ayr Hospital,DEC 2022,5,440,19.565217391304348,0.0,99.21,0.23,100,99.09,0,0,22,5,
466,191,Ayr Hospital,DEC 2022,ALL,3473,7.357032457496136,0.0,97.22,12.47,74.6,93.46,11,0.32,63,1.81,
467,192,Bowen Hospital,DEC 2022,1,6,50.0,0.0,100,50,33.33,50,0,0,0,0,
468,192,Bowen Hospital,DEC 2022,2,244,17.307692307692307,0.0,90.83,29.51,45.83,52.87,5,2.05,3,1.23,
469,192,Bowen Hospital,DEC 2022,3,893,12.752525252525253,0.0,92.29,17.69,32.91,72.45,19,2.13,13,1.46,
470,192,Bowen Hospital,DEC 2022,4,1581,-9.70873786407767,1.0,91.89,4.24,38.81,89.56,7,0.44,95,6.01,
471,192,Bowen Hospital,DEC 2022,5,408,-27.787610619469028,2.0,94.69,1.23,60,94.85,1,0.25,46,11.27,
472,192,Bowen Hospital,DEC 2022,ALL,3132,-5.662650602409639,0.0,92.17,9.74,37.7,82.44,32,1.02,157,5.01,
473,193,Charters Towers Hospital,DEC 2022,1,11,83.33333333333334,0.0,100,27.27,100,100,0,0,0,0,
474,193,Charters Towers Hospital,DEC 2022,2,164,11.564625850340136,0.0,95.73,45.12,97.3,96.95,1,0.61,0,0,
475,193,Charters Towers Hospital,DEC 2022,3,491,-18.708609271523176,5.0,92.68,28.51,97.86,94.3,3,0.61,12,2.44,
476,193,Charters Towers Hospital,DEC 2022,4,1076,15.82346609257266,7.0,95.38,7.06,92.11,96.84,3,0.28,33,3.07,
477,193,Charters Towers Hospital,DEC 2022,5,578,-0.3448275862068966,5.0,99.26,1.73,70,97.4,0,0,27,4.67,
478,193,Charters Towers Hospital,DEC 2022,ALL,2320,2.383053839364519,5.0,95.79,13.06,95.38,96.47,7,0.3,72,3.1,
479,196,Ingham Hospital,DEC 2022,1,8,-33.333333333333336,0.0,100,50,75,62.5,0,0,0,0,
480,196,Ingham Hospital,DEC 2022,2,210,-19.23076923076923,0.0,91.83,51.9,88.07,87.62,2,0.95,1,0.48,
481,196,Ingham Hospital,DEC 2022,3,753,2.8688524590163933,2.0,87.31,38.11,82.93,88.58,6,0.8,7,0.93,
482,196,Ingham Hospital,DEC 2022,4,897,19.44074567243675,10.0,89.4,19.18,79.07,91.86,4,0.45,40,4.46,
483,196,Ingham Hospital,DEC 2022,5,519,-63.13920454545455,4.0,96.62,17.92,90.32,96.34,1,0.19,23,4.43,
484,196,Ingham Hospital,DEC 2022,ALL,2387,-24.53367056591843,5.0,90.25,27.86,83.76,91.33,13,0.54,71,2.97,
485,197,Joyce Palmer Health Service,DEC 2022,1,3,50.0,0.0,100,0,-,100,0,0,0,0,
486,197,Joyce Palmer Health Service,DEC 2022,2,158,32.773109243697476,0.0,98.03,37.97,95,86.71,20,12.66,6,3.8,
487,197,Joyce Palmer Health Service,DEC 2022,3,606,41.92037470725995,2.0,96.86,23.27,88.65,92.08,15,2.48,29,4.79,
488,197,Joyce Palmer Health Service,DEC 2022,4,584,34.56221198156682,2.0,97.18,11.47,83.58,94.35,5,0.86,71,12.16,
489,197,Joyce Palmer Health Service,DEC 2022,5,490,-43.35260115606937,2.0,100,1.02,100,99.8,2,0.41,37,7.55,
490,197,Joyce Palmer Health Service,DEC 2022,ALL,1841,-0.3248511099079589,2.0,97.81,14.83,89.01,94.41,42,2.28,143,7.77,
491,200,Townsville University Hospital,DEC 2022,1,216,13.68421052631579,0.0,100,79.17,62.57,62.04,2,0.93,0,0,
492,200,Townsville University Hospital,DEC 2022,2,3287,4.681528662420382,3.0,79.84,49.92,34.19,50.14,103,3.13,5,0.15,
493,200,Townsville University Hospital,DEC 2022,3,12849,8.788417576835153,15.0,75.77,30.13,29.45,56.47,791,6.16,338,2.63,
494,200,Townsville University Hospital,DEC 2022,4,7647,0.32799790081343483,22.0,81.19,15.89,32.26,71.77,423,5.53,393,5.14,
495,200,Townsville University Hospital,DEC 2022,5,620,2.4793388429752063,26.0,93.15,4.68,51.72,91.94,26,4.19,34,5.48,
496,200,Townsville University Hospital,DEC 2022,ALL,24619,5.353474837384457,14.0,78.6,28.14,31.98,61.32,1345,5.46,770,3.13,
497,201,Royal Brisbane & Women's Hospital,DEC 2022,1,204,25.153374233128833,0.0,100,78.43,56.25,54.41,1,0.49,0,0,
498,201,Royal Brisbane & Women's Hospital,DEC 2022,2,3980,-4.395868364160461,10.0,50.31,54.32,32.33,41.56,108,2.71,42,1.06,
499,201,Royal Brisbane & Women's Hospital,DEC 2022,3,8007,-3.5068691250903834,30.0,51.12,43.87,29.69,43.96,191,2.39,232,2.9,
500,201,Royal Brisbane & Women's Hospital,DEC 2022,4,7872,-2.6706231454005933,34.0,74.03,23.91,26.46,55.17,209,2.65,395,5.02,
501,201,Royal Brisbane & Women's Hospital,DEC 2022,5,1889,-91.67511348111586,34.0,91.54,7.25,33.58,76.07,44,2.33,206,10.91,
502,201,Royal Brisbane & Women's Hospital,DEC 2022,ALL,21952,-49.42285095500311,27.0,62.85,35.78,30.25,50.41,553,2.52,875,3.99,
503,202,Queensland Children's Hospital,DEC 2022,1,93,34.78260869565217,1.0,100,83.87,52.56,54.84,0,0,0,0,
504,202,Queensland Children's Hospital,DEC 2022,2,2626,14.772727272727273,7.0,87.4,60.05,50.79,60.36,1,0.04,1,0.04,
505,202,Queensland Children's Hospital,DEC 2022,3,6072,9.721720274665703,13.0,75.89,31.03,37.21,60.33,64,1.05,77,1.27,
506,202,Queensland Children's Hospital,DEC 2022,4,8357,-0.10757829309108295,16.0,84.9,11.65,34.19,71.99,114,1.36,237,2.84,
507,202,Queensland Children's Hospital,DEC 2022,5,1481,-10.024301336573512,21.0,94,5.47,38.27,84.2,18,1.22,74,5,
508,202,Queensland Children's Hospital,DEC 2022,ALL,18629,4.055186281628777,12.0,83,24.66,41.51,67.43,197,1.06,389,2.09,
509,211,Atherton Hospital,DEC 2022,1,39,160.0,0.0,100,64.1,64,61.54,0,0,0,0,
510,211,Atherton Hospital,DEC 2022,2,521,23.459715639810426,10.0,52.32,43.76,43.42,50.67,5,0.96,2,0.38,
511,211,Atherton Hospital,DEC 2022,3,1544,9.425939050318924,29.0,52.75,24.74,35.6,62.37,12,0.78,32,2.07,
512,211,Atherton Hospital,DEC 2022,4,2181,-5.502599653379549,59.0,50.5,6.88,32,78.08,10,0.46,234,10.73,
513,211,Atherton Hospital,DEC 2022,5,801,-12.26725082146769,28.0,87.95,1.25,30,91.26,2,0.25,95,11.86,
514,211,Atherton Hospital,DEC 2022,ALL,5086,0.33537186821858356,33.0,56.67,15.63,37.99,72.45,29,0.57,363,7.14,
515,212,Babinda Hospital,DEC 2022,1,1,-50.0,0.0,100,0,-,0,0,0,0,0,
516,212,Babinda Hospital,DEC 2022,2,44,18.91891891891892,0.0,100,47.73,71.43,81.82,0,0,0,0,
517,212,Babinda Hospital,DEC 2022,3,155,2.649006622516556,0.0,98.7,25.81,95,94.84,0,0,1,0.65,
518,212,Babinda Hospital,DEC 2022,4,309,19.305019305019304,0.0,100,6.47,85,97.09,1,0.32,16,5.18,
519,212,Babinda Hospital,DEC 2022,5,315,-23.728813559322035,0.0,100,8.25,100,99.05,0,0,10,3.17,
520,212,Babinda Hospital,DEC 2022,ALL,824,-4.408352668213457,0.0,99.73,12.99,89.72,96.48,1,0.12,27,3.28,
521,213,Bamaga Hospital,DEC 2022,1,5,-28.571428571428573,0.0,100,40,100,80,0,0,0,0,
522,213,Bamaga Hospital,DEC 2022,2,92,17.94871794871795,5.0,81.11,51.09,100,97.83,0,0,1,1.09,
523,213,Bamaga Hospital,DEC 2022,3,219,12.88659793814433,15.0,82.03,25.57,98.21,96.8,3,1.37,0,0,
524,213,Bamaga Hospital,DEC 2022,4,604,31.019522776572668,20.0,90.11,4.14,100,98.01,2,0.33,19,3.15,
525,213,Bamaga Hospital,DEC 2022,5,450,-26.350245499181668,18.5,98.36,1.56,71.43,98,0,0,14,3.11,
526,213,Bamaga Hospital,DEC 2022,ALL,1370,1.4063656550703183,17.0,90.51,10,97.81,97.74,5,0.36,34,2.48,
527,214,Cairns Hospital,DEC 2022,1,296,8.424908424908425,0.0,100,87.5,48.26,48.31,0,0,0,0,
528,214,Cairns Hospital,DEC 2022,2,3999,7.154340836012861,7.0,75.37,53.59,31.96,42.96,60,1.5,8,0.2,
529,214,Cairns Hospital,DEC 2022,3,9824,3.2475039411455593,16.0,73.08,38.1,25.11,44.29,345,3.51,350,3.56,
530,214,Cairns Hospital,DEC 2022,4,7373,3.991537376586742,25.0,78.77,17.63,31.69,62.82,304,4.12,527,7.15,
531,214,Cairns Hospital,DEC 2022,5,1217,38.45278725824801,26.0,92.62,5.42,42.42,81.51,48,3.94,152,12.49,
532,214,Cairns Hospital,DEC 2022,ALL,22709,5.677323281678998,15.0,76.62,33.07,29.16,52.12,757,3.33,1037,4.57,
533,216,Cooktown Hospital,DEC 2022,1,9,28.571428571428573,0.0,100,55.56,100,77.78,0,0,0,0,
534,216,Cooktown Hospital,DEC 2022,2,176,43.08943089430895,0.0,98.85,60.23,83.02,81.82,2,1.14,2,1.14,
535,216,Cooktown Hospital,DEC 2022,3,406,13.09192200557103,7.0,91.71,35.96,89.73,92.36,5,1.23,3,0.74,
536,216,Cooktown Hospital,DEC 2022,4,784,4.953145917001339,15.0,90.61,10.59,90.36,96.81,9,1.15,38,4.85,
537,216,Cooktown Hospital,DEC 2022,5,558,-12.264150943396226,19.0,96.29,2.87,93.75,98.75,0,0,27,4.84,
538,216,Cooktown Hospital,DEC 2022,ALL,1933,3.2585470085470085,10.0,93.18,18.42,88.2,94.98,16,0.83,70,3.62,
539,222,Innisfail Hospital,DEC 2022,1,25,0.0,0.0,100,84,66.67,72,0,0,0,0,
540,222,Innisfail Hospital,DEC 2022,2,375,1.6260162601626016,4.0,87.13,62.4,65.38,70.93,2,0.53,0,0,
541,222,Innisfail Hospital,DEC 2022,3,1300,14.840989399293287,24.0,58.65,38.77,52.98,72.38,12,0.92,42,3.23,
542,222,Innisfail Hospital,DEC 2022,4,1873,-7.460474308300395,48.0,56.19,13.99,50,79.82,11,0.59,216,11.53,
543,222,Innisfail Hospital,DEC 2022,5,962,-6.963249516441006,36.0,79.94,12.58,70.25,85.45,7,0.73,111,11.54,
544,222,Innisfail Hospital,DEC 2022,ALL,4535,-1.0689354275741711,29.0,64.24,25.18,56.92,78.1,32,0.71,369,8.14,
545,223,Mareeba Hospital,DEC 2022,1,59,3.5087719298245617,0.0,100,30.51,44.44,59.32,2,3.39,0,0,
546,223,Mareeba Hospital,DEC 2022,2,503,-6.156716417910448,6.5,78.88,30.42,55.56,69.98,5,0.99,1,0.2,
547,223,Mareeba Hospital,DEC 2022,3,1517,-2.5690430314707773,16.0,80.04,19.91,60.6,82.33,12,0.79,11,0.73,
548,223,Mareeba Hospital,DEC 2022,4,2250,3.3532384014699126,22.0,83.09,4.22,57.89,94.49,24,1.07,52,2.31,
549,223,Mareeba Hospital,DEC 2022,5,1611,3.734707018673535,24.0,94.44,1.06,76.47,97.58,20,1.24,47,2.92,
550,223,Mareeba Hospital,DEC 2022,ALL,5940,1.0204081632653061,17.0,84.92,9.85,58.8,89.8,63,1.06,111,1.87,
551,224,Mossman Hospital,DEC 2022,1,14,-33.333333333333336,0.0,100,21.43,0,71.43,0,0,0,0,
552,224,Mossman Hospital,DEC 2022,2,386,15.568862275449101,9.0,59.11,37.56,17.93,51.04,5,1.3,2,0.52,
553,224,Mossman Hospital,DEC 2022,3,941,0.4268943436499466,27.0,56.96,18.7,19.32,65.78,5,0.53,27,2.87,
554,224,Mossman Hospital,DEC 2022,4,1460,5.339105339105339,47.0,59.86,6.1,31.46,81.99,9,0.62,115,7.88,
555,224,Mossman Hospital,DEC 2022,5,1133,25.055187637969095,42.0,83.66,3,67.65,91.26,1,0.09,92,8.12,
556,224,Mossman Hospital,DEC 2022,ALL,3934,9.765625,32.0,63.62,11.36,24.83,77.71,20,0.51,236,6,
557,226,Thursday Island Hospital,DEC 2022,1,3,-25.0,0.0,100,66.67,0,33.33,0,0,0,0,
558,226,Thursday Island Hospital,DEC 2022,2,140,4.477611940298507,1.5,97.14,40.71,75.44,75,2,1.43,0,0,
559,226,Thursday Island Hospital,DEC 2022,3,270,-3.5714285714285716,4.0,95.8,30.74,80.72,88.89,2,0.74,3,1.11,
560,226,Thursday Island Hospital,DEC 2022,4,482,17.27493917274939,7.0,97.53,9.34,77.78,94.19,4,0.83,14,2.9,
561,226,Thursday Island Hospital,DEC 2022,5,417,-49.02200488997555,9.0,99.37,3.6,86.67,96.16,0,0,12,2.88,
562,226,Thursday Island Hospital,DEC 2022,ALL,1312,-20.34001214329083,5.0,97.6,15.4,78.22,91.54,8,0.61,29,2.21,
563,227,Tully Hospital,DEC 2022,1,13,-23.529411764705884,0.0,100,23.08,33.33,61.54,0,0,0,0,
564,227,Tully Hospital,DEC 2022,2,223,23.888888888888886,0.0,93.72,31.39,57.14,60.09,4,1.79,0,0,
565,227,Tully Hospital,DEC 2022,3,699,0.4310344827586207,0.0,90.63,17.02,52.1,74.96,8,1.14,15,2.15,
566,227,Tully Hospital,DEC 2022,4,1267,0.9561752988047809,0.0,89.57,3.95,52,88.79,17,1.34,58,4.58,
567,227,Tully Hospital,DEC 2022,5,466,4.017857142857142,10.0,92.57,0.21,100,95.71,3,0.64,37,7.94,
568,227,Tully Hospital,DEC 2022,ALL,2668,2.7734976887519256,0.0,90.7,9.11,53.5,83.85,32,1.2,110,4.12,
569,228,Weipa Hospital,DEC 2022,1,9,125.0,0.0,100,88.89,87.5,88.89,0,0,0,0,
570,228,Weipa Hospital,DEC 2022,2,119,-16.783216783216783,3.0,80.34,65.55,94.87,90.76,1,0.84,2,1.68,
571,228,Weipa Hospital,DEC 2022,3,389,21.5625,20.0,66.31,35.73,82.73,87.66,3,0.77,10,2.57,
572,228,Weipa Hospital,DEC 2022,4,937,22.005208333333336,38.0,67.21,11.74,81.82,91.04,3,0.32,58,6.19,
573,228,Weipa Hospital,DEC 2022,5,529,-2.9357798165137616,35.0,86.68,3.4,88.89,94.14,0,0,46,8.7,
574,228,Weipa Hospital,DEC 2022,ALL,1983,11.404494382022472,28.0,72.59,17.8,85.55,91.17,7,0.35,116,5.85,
575,243,Cloncurry Hospital,DEC 2022,1,2,100.0,0.5,100,50,100,100,0,0,0,0,
576,243,Cloncurry Hospital,DEC 2022,2,71,20.338983050847457,3.0,92.86,42.25,90,88.73,3,4.23,1,1.41,
577,243,Cloncurry Hospital,DEC 2022,3,241,-3.21285140562249,6.0,94.14,26.97,86.15,91.7,8,3.32,2,0.83,
578,243,Cloncurry Hospital,DEC 2022,4,494,14.883720930232558,14.0,92.46,8.5,88.1,96.36,4,0.81,18,3.64,
579,243,Cloncurry Hospital,DEC 2022,5,347,-8.201058201058201,13.0,97.92,4.03,100,97.12,0,0,12,3.46,
580,243,Cloncurry Hospital,DEC 2022,ALL,1155,3.4019695613249774,10.0,94.38,13.16,88.82,95.15,15,1.3,33,2.86,
581,245,Julia Creek Hospital,DEC 2022,1,0,0.0,,-,-,-,-,0,-,0,-,
582,245,Julia Creek Hospital,DEC 2022,2,8,0.0,0.0,100,0,-,75,1,12.5,0,0,
583,245,Julia Creek Hospital,DEC 2022,3,36,-12.195121951219512,0.0,100,0,-,69.44,0,0,0,0,
584,245,Julia Creek Hospital,DEC 2022,4,61,-25.609756097560975,2.0,96.15,0,-,96.72,0,0,0,0,
585,245,Julia Creek Hospital,DEC 2022,5,244,71.83098591549296,2.0,99.31,0,-,99.18,0,0,0,0,
586,245,Julia Creek Hospital,DEC 2022,ALL,349,27.37226277372263,1.0,98.75,0,-,95.13,1,0.29,0,0,
587,246,Mount Isa Base Hospital,DEC 2022,1,16,33.333333333333336,0.0,100,68.75,54.55,50,0,0,0,0,
588,246,Mount Isa Base Hospital,DEC 2022,2,725,-4.980340760157274,5.0,87.62,53.79,46.67,61.1,23,3.17,4,0.55,
589,246,Mount Isa Base Hospital,DEC 2022,3,2548,4.554780467788264,12.0,82.34,26.92,40.82,73.43,77,3.02,83,3.26,
590,246,Mount Isa Base Hospital,DEC 2022,4,3642,3.5541654819448394,25.0,81.89,7.88,47.39,89.57,40,1.1,281,7.72,
591,246,Mount Isa Base Hospital,DEC 2022,5,939,-61.89123376623376,20.0,97.57,2.77,80.77,97.23,9,0.96,109,11.61,
592,246,Mount Isa Base Hospital,DEC 2022,ALL,7870,-14.391384749265747,15.0,84.21,17.79,44.64,82.55,149,1.89,477,6.06,
593,247,Normanton Hospital,DEC 2022,1,3,0.0,0.0,100,0,-,33.33,0,0,0,0,
594,247,Normanton Hospital,DEC 2022,2,46,15.0,0.0,100,60.87,100,97.83,1,2.17,1,2.17,
595,247,Normanton Hospital,DEC 2022,3,286,40.19607843137255,0.0,97.52,34.62,97.98,96.15,3,1.05,2,0.7,
596,247,Normanton Hospital,DEC 2022,4,266,6.4,0.0,99.6,13.91,94.59,97.37,0,0,7,2.63,
597,247,Normanton Hospital,DEC 2022,5,121,31.521739130434785,1.0,100,3.31,100,100,0,0,1,0.83,
598,247,Normanton Hospital,DEC 2022,ALL,722,22.58064516129032,0.0,98.78,23.27,97.62,97.09,4,0.55,11,1.52,
599,249,Mornington Island Hospital,DEC 2022,1,1,-50.0,0.0,100,0,-,0,0,0,0,0,
600,249,Mornington Island Hospital,DEC 2022,2,62,12.727272727272727,0.0,98.33,22.58,78.57,64.52,9,14.52,2,3.23,
601,249,Mornington Island Hospital,DEC 2022,3,246,24.24242424242424,0.0,98.32,9.35,86.96,83.74,13,5.28,6,2.44,
602,249,Mornington Island Hospital,DEC 2022,4,663,-7.012622720897616,0.0,99.83,2.87,89.47,93.82,22,3.32,30,4.52,
603,249,Mornington Island Hospital,DEC 2022,5,105,-77.41935483870968,0.0,100,0,-,99.05,0,0,2,1.9,
604,249,Mornington Island Hospital,DEC 2022,ALL,1077,-24.84298674110258,0.0,99.39,5.2,85.71,90.25,44,4.09,40,3.71,
605,252,Doomadgee Hospital,DEC 2022,1,3,0.0,0.0,100,33.33,100,100,0,0,0,0,
606,252,Doomadgee Hospital,DEC 2022,2,87,-26.89075630252101,0.0,92.94,14.94,76.92,67.82,4,4.6,2,2.3,
607,252,Doomadgee Hospital,DEC 2022,3,390,-17.372881355932204,5.0,91.41,11.28,79.55,83.08,21,5.38,18,4.62,
608,252,Doomadgee Hospital,DEC 2022,4,804,2.420382165605096,7.0,95.43,2.61,95.24,91.67,19,2.36,73,9.08,
609,252,Doomadgee Hospital,DEC 2022,5,931,16.666666666666668,9.5,98.17,1.07,70,94.2,4,0.43,58,6.23,
610,252,Doomadgee Hospital,DEC 2022,ALL,2215,1.8859245630174795,6.0,95.43,4.02,82.02,90.29,48,2.17,151,6.82,
611,934,Robina Hospital,DEC 2022,1,76,-15.555555555555557,1.0,100,55.26,52.38,51.32,1,1.32,0,0,
612,934,Robina Hospital,DEC 2022,2,2990,-34.67336683417086,9.0,60.58,39.67,43.17,53.28,128,4.28,21,0.7,
613,934,Robina Hospital,DEC 2022,3,8975,13.794852288576138,15.0,76.25,40.18,39.49,50.03,473,5.27,344,3.83,
614,934,Robina Hospital,DEC 2022,4,4161,-77.63865004299225,20.0,79.65,17.21,39.94,64.43,235,5.65,329,7.91,
615,934,Robina Hospital,DEC 2022,5,309,-20.155038759689923,20.0,91.76,7.44,47.83,82.52,22,7.12,50,16.18,
616,934,Robina Hospital,DEC 2022,ALL,16511,-47.66553615011569,14.0,74.49,33.75,40.46,54.86,859,5.2,744,4.51,
617,936,Gold Coast University Hospital,DEC 2022,1,425,6.25,1.0,100,76.24,48.77,48.71,6,1.41,0,0,
618,936,Gold Coast University Hospital,DEC 2022,2,7559,-2.903018625561978,10.0,54.5,44.37,25.46,38.21,219,2.9,67,0.89,
619,936,Gold Coast University Hospital,DEC 2022,3,15321,4.530258579518319,18.0,66.96,33.93,25.43,43.98,456,2.98,637,4.16,
620,936,Gold Coast University Hospital,DEC 2022,4,7377,-64.27602905569007,23.0,78.53,12.32,31.13,67.83,243,3.29,580,7.86,
621,936,Gold Coast University Hospital,DEC 2022,5,555,-13.009404388714733,24.0,91.13,4.86,48.15,81.44,8,1.44,68,12.25,
622,936,Gold Coast University Hospital,DEC 2022,ALL,31237,-29.215952866530706,15.0,67.33,31.41,26.8,48.95,932,2.98,1352,4.33,
623,99999,Queensland,DEC 2022,1,4565,11.504640937957989,0.0,99.98,73.08,46.97,47.91,42,0.92,0,0,
624,99999,Queensland,DEC 2022,2,94118,1.7238956799930827,8.0,66.52,53.22,42.66,49.94,2424,2.58,385,0.41,
625,99999,Queensland,DEC 2022,3,240416,3.5882940953431457,19.0,66.36,36.07,37.16,53.73,11330,4.71,6445,2.68,
626,99999,Queensland,DEC 2022,4,186567,-12.773099814387972,22.0,77.6,12.54,41.34,75.66,6964,3.73,10345,5.54,
627,99999,Queensland,DEC 2022,5,47539,-51.32492371961584,15.0,93.57,4,66.53,91.58,845,1.78,3326,7,
628,99999,Queensland,DEC 2022,ALL,573205,-10.472809398711144,16.0,72.16,28.86,39.95,63.34,21605,3.77,20501,3.58,
0,1,Mater Hospital Brisbane Public,JUN 2022,2,1893,-9.077809798270893,14.0,44.73,57.37,35.91,44.32,47,2.48,10,0.53,
1,1,Mater Hospital Brisbane Public,JUN 2022,3,5194,-16.279819471308834,60.0,30.72,47.84,22.58,37.04,253,4.87,165,3.18,
2,1,Mater Hospital Brisbane Public,JUN 2022,4,4211,1.690412943733398,72.0,43.69,20.59,27.45,56.23,327,7.77,347,8.24,
3,1,Mater Hospital Brisbane Public,JUN 2022,5,750,0.26737967914438504,71.5,73.48,8.67,35.38,75.47,58,7.73,82,10.93,
